imdbId;year;spanishTitle;originalTitle;englishTitle;ratingImdb;numVotes;metascore;isAdult;certificate;runtimeMinutes;genres;directors;writers;stars;countries;companies;awards;budget;grossUsCanada;openingUsCanada;grossWorld;profit;roi
tt5610554;2018.0;Tully;Tully;Tully;7.0;54657.0;75.0;0.0;12;95.0;Comedy,Drama,Mystery;Jason Reitman;Diablo Cody;Diablo Cody;United States,Canada;BRON Studios,Right of Way Films,Denver and Delilah Productions;"Awards
3 wins & 25 nominations";13000000.0;9369755.0;3282610.0;15636462.0;2636462.0;0.20280476923076923
tt5613484;2018.0;En los 90;Mid90s;Mid90s;7.4;53958.0;66.0;0.0;16;85.0;Comedy,Drama;Jonah Hill;Jonah Hill;Jonah Hill;United States;A24,IAC Films,Waypoint Entertainment;"Awards
4 wins & 10 nominations";10000000.0;7362439.0;258157.0;9303022.0;-696978.0;-0.0696978
tt5616294;2018.0;Falsa evidencia;Spinning Man;Spinning Man;5.6;10163.0;44.0;0.0;16;100.0;Drama,Mystery,Thriller;Simon Kaijser;Matthew Aldrich,George Harrar;Matthew Aldrich,George Harrar;Ireland,Sweden,United States;Film Bridge International,Grindstone Entertainment Group;NaN;8500000.0;NaN;NaN;283755.0;-8216245.0;-0.9666170588235294
tt5619332;2018.0;El alma de la fiesta;Life of the Party;Life of the Party;5.6;34963.0;46.0;0.0;16;105.0;Comedy;Ben Falcone;Melissa McCarthy,Ben Falcone;Melissa McCarthy,Ben Falcone;United States;New Line Cinema,On the Day,Warner Bros.;"Awards
3 wins & 4 nominations";30000000.0;53059911.0;17886075.0;65859911.0;35859911.0;1.1953303666666666
tt5622412;2018.0;Operación rescate;Black Water;Black Water;4.7;4582.0;16.0;0.0;16;104.0;Action,Drama,Thriller;Pasha Patriki;Chad Law,Tyler W. Konney,Richard Switzer;Chad Law,Tyler W. Konney,Richard Switzer;Canada,United States;"""Dawns Light"",USA,9 Light Entertainment";"Awards
1 nomination";5000000.0;NaN;NaN;7882387.0;2882387.0;0.5764774
tt5664636;2018.0;Pesadillas 2: Noche de Halloween;Goosebumps 2: Haunted Halloween;Goosebumps 2: Haunted Halloween;5.6;18754.0;53.0;0.0;7;90.0;Adventure,Animation,Comedy;Ari Sandel;Rob Lieber,Darren Lemke,R.L. Stine;Rob Lieber,Darren Lemke,R.L. Stine;United States,United Kingdom;Sony Pictures Animation,Scholastic Entertainment,Silvertongue Films;NaN;35000000.0;46700633.0;15802225.0;93320380.0;58320380.0;1.6662965714285713
tt5670152;2018.0;Traffik;Traffik;Traffik;6.0;19217.0;37.0;0.0;R;96.0;Thriller;Deon Taylor;Deon Taylor;Deon Taylor;United States;Summit Entertainment,Codeblack Films,Hidden Empire Film Group (HEFG);"Awards
3 nominations";4000000.0;9186156.0;3941338.0;9515914.0;5515914.0;1.3789785
tt5688932;2018.0;Perdona que te moleste;Sorry to Bother You;Sorry to Bother You;6.9;68556.0;80.0;0.0;16;112.0;Comedy,Fantasy,Sci-Fi;Boots Riley;Boots Riley;Boots Riley;United States;"Cinereach,""Forest Whitakers Significant Productions"",MACRO";"Awards
19 wins & 57 nominations";3200000.0;17493096.0;727266.0;18170707.0;14970707.0;4.6783459375
tt5690360;2018.0;Slender Man;Slender Man;Slender Man;3.2;30199.0;30.0;0.0;12;93.0;Horror,Mystery,Thriller;Sylvain White;David Birke,Victor Surge;David Birke,Victor Surge;United States;Screen Gems,Mythology Entertainment,Madhouse Entertainment;"Awards
3 nominations";10000000.0;30569484.0;11371866.0;51738549.0;41738549.0;4.1738549
tt5690810;2018.0;Ofelia;Ophelia;Ophelia;6.6;8382.0;60.0;0.0;12;114.0;Drama,Romance,Thriller;Claire McCarthy;Semi Chellas,Lisa Klein,William Shakespeare;Semi Chellas,Lisa Klein,William Shakespeare;United Kingdom,United States;Covert Media,Bert Marcus Productions,Bobker / Kruger Films;"Awards
4 wins & 4 nominations";12000000.0;50722.0;22145.0;242115.0;-11757885.0;-0.97982375
